Date,Region,Cholera_Cases,Rainfall_mm,Avg_Temperature_C,Humidity_%,Water_Contamination_Index,Population_Density,Sanitation_Score,Is_Holiday_Week
2021-10-01,Enugu,28,107.83,28.7,77.3,0.24,5642,4.7,1
2021-10-08,Bayelsa,12,103.67,29.8,79.8,0.56,7745,5.0,0
2021-10-15,Enugu,18,124.96,29.2,87.4,0.24,6262,4.2,1
2021-10-22,Kano,19,72.19,27.0,76.7,0.34,6500,1.7,0
2021-10-29,Kano,19,53.24,31.7,82.5,0.09,9548,1.8,0
2021-11-05,Kano,16,81.87,30.0,87.3,0.53,5934,1.5,1
2021-11-12,Enugu,28,47.35,29.1,79.9,0.3,5562,3.2,0
2021-11-19,Kaduna,11,86.2,29.2,79.1,0.31,10592,4.7,0
2021-11-26,Kano,19,34.98,27.5,82.3,0.41,8355,1.9,1
2021-12-03,Enugu,19,79.3,27.3,78.4,0.37,6315,3.1,0
2021-12-10,Enugu,16,18.57,27.7,79.7,0.27,5075,2.5,0
2021-12-17,Enugu,16,60.81,30.1,72.7,0.18,6517,2.6,0
2021-12-24,Lagos,10,104.77,31.6,77.7,0.33,4761,1.5,0
2021-12-31,Bayelsa,15,14.63,30.4,83.7,0.19,11857,2.5,0
2022-01-07,Kano,18,69.81,28.6,78.4,0.38,10363,1.7,0
2022-01-14,Lagos,20,47.68,30.0,86.0,0.36,6762,1.7,0
2022-01-21,Lagos,15,100.23,31.1,78.4,0.13,3484,4.8,0
2022-01-28,Enugu,20,13.79,28.0,81.3,0.46,11960,2.0,0
2022-02-04,Bayelsa,16,25.61,30.7,74.9,0.18,3634,2.4,1
2022-02-11,Lagos,22,119.18,30.2,77.3,0.63,9490,2.9,1
2022-02-18,Kano,19,48.71,27.8,76.6,0.49,10106,4.6,1
2022-02-25,Bayelsa,8,56.57,29.9,78.4,0.14,7291,1.5,0
2022-03-04,Kaduna,22,49.74,32.3,80.8,0.78,6205,1.4,1
2022-03-11,Kaduna,23,75.13,28.7,75.9,0.49,5170,3.3,0
2022-03-18,Kaduna,19,50.15,30.6,73.4,0.76,5117,4.1,0
2022-03-25,Enugu,16,53.97,28.6,78.2,0.7,7494,2.4,0
2022-04-01,Bayelsa,19,36.11,30.4,80.8,0.36,10942,1.8,0
2022-04-08,Bayelsa,18,64.78,28.0,84.2,0.89,4779,3.7,0
2022-04-15,Kaduna,16,71.65,28.5,73.3,0.25,7204,1.9,0
2022-04-22,Enugu,17,88.31,29.5,70.6,0.09,10800,3.2,1
2022-04-29,Kano,14,74.36,30.9,76.0,0.84,10139,1.2,0
2022-05-06,Kaduna,20,68.82,31.1,83.4,0.24,2794,5.0,1
2022-05-13,Bayelsa,21,58.22,28.5,73.4,0.26,5610,3.0,0
2022-05-20,Lagos,19,94.25,30.5,75.8,0.65,4292,2.9,0
2022-05-27,Kaduna,29,27.44,30.2,84.4,0.22,7379,3.6,0
2022-06-03,Bayelsa,15,46.21,31.5,76.9,0.44,8089,3.0,1
2022-06-10,Bayelsa,16,48.01,28.5,77.9,0.71,7867,3.0,1
2022-06-17,Kaduna,20,39.58,28.1,78.8,0.25,2882,2.3,1
2022-06-24,Kano,18,65.79,31.0,81.1,0.15,4402,4.3,1
2022-07-01,Kaduna,19,53.34,27.4,77.4,0.19,4836,5.0,0
2022-07-08,Enugu,18,75.41,28.2,70.7,0.5,3495,3.6,0
2022-07-15,Kano,13,32.37,27.9,77.5,0.41,9390,1.1,0
2022-07-22,Kano,13,62.49,29.6,79.4,0.31,2877,2.1,0
2022-07-29,Kano,15,95.2,27.9,66.6,0.34,2552,3.5,0
2022-08-05,Enugu,20,37.12,27.9,83.1,0.35,4118,2.2,0
2022-08-12,Bayelsa,17,46.51,29.8,77.2,0.33,3032,3.3,0
2022-08-19,Bayelsa,16,66.66,31.5,71.4,0.3,10934,3.0,0
2022-08-26,Enugu,18,42.31,30.0,76.2,0.27,8230,4.8,0
2022-09-02,Enugu,20,43.06,30.0,85.0,0.49,11164,2.1,0
2022-09-09,Lagos,20,45.74,28.9,81.2,0.78,5756,1.0,1
2022-09-16,Kano,15,52.86,29.5,78.6,0.55,3811,3.3,0
2022-09-23,Enugu,21,39.01,28.6,77.6,0.58,6624,2.9,0
2022-09-30,Kano,21,132.74,28.4,69.2,0.69,11527,2.8,0
2022-10-07,Bayelsa,15,35.14,27.2,77.8,0.45,10971,3.3,0
2022-10-14,Enugu,25,53.39,28.6,82.0,0.09,5032,2.4,0
2022-10-21,Kano,21,104.51,28.9,74.6,0.51,5021,4.7,0
2022-10-28,Lagos,15,60.85,30.4,80.3,0.65,11368,4.2,0
2022-11-04,Enugu,16,61.94,29.3,74.9,0.5,10483,2.1,0
2022-11-11,Enugu,17,10.86,28.7,80.4,0.47,3868,2.4,0
2022-11-18,Kano,14,79.1,26.8,72.7,0.42,5941,3.0,1
2022-11-25,Kano,16,71.88,26.4,79.5,0.39,10959,4.9,0
2022-12-02,Bayelsa,14,59.44,29.0,72.6,0.09,5162,1.5,0
2022-12-09,Enugu,23,35.08,28.4,71.7,0.27,6481,2.3,0
2022-12-16,Lagos,16,46.59,29.2,76.1,0.6,10550,3.0,0
2022-12-23,Enugu,21,57.65,28.0,76.8,0.18,10729,2.1,1
2022-12-30,Bayelsa,23,84.5,29.5,78.4,0.28,4583,3.5,1
2023-01-06,Enugu,15,66.75,27.5,74.1,0.25,7361,3.4,1
2023-01-13,Kano,22,5.58,30.6,76.1,0.35,9611,3.6,0
2023-01-20,Enugu,18,19.78,30.7,77.7,0.69,6186,1.0,1
2023-01-27,Kano,21,45.17,24.2,82.6,0.37,7303,2.3,0
2023-02-03,Lagos,12,85.95,28.7,82.5,0.39,9483,3.2,0
2023-02-10,Enugu,25,17.1,26.8,78.4,0.07,9835,3.1,0
2023-02-17,Enugu,18,57.56,28.9,83.9,0.68,8108,2.5,0
2023-02-24,Enugu,14,49.88,26.7,77.7,0.44,8827,3.5,1
2023-03-03,Lagos,15,52.9,25.4,86.8,0.67,8816,3.7,0
2023-03-10,Lagos,8,83.34,29.0,83.6,0.28,3557,1.7,0
2023-03-17,Bayelsa,28,87.4,29.5,76.2,0.87,8382,3.6,0
2023-03-24,Enugu,14,62.74,29.1,75.5,0.4,3960,4.8,0
2023-03-31,Lagos,15,14.78,31.8,77.0,0.17,6093,4.7,0
2023-04-07,Bayelsa,13,83.17,30.1,82.4,0.16,9558,2.3,1
2023-04-14,Bayelsa,20,88.52,28.4,74.8,0.8,11221,1.3,1
2023-04-21,Kaduna,19,38.15,27.5,80.4,0.49,11135,1.1,0
2023-04-28,Enugu,16,37.64,28.2,79.2,0.5,6328,1.0,0
2023-05-05,Bayelsa,19,95.41,28.2,83.3,0.36,6688,3.9,0
2023-05-12,Enugu,15,37.57,29.7,74.2,0.3,3706,3.3,0
2023-05-19,Enugu,27,85.42,28.4,76.6,0.5,4015,2.5,1
2023-05-26,Kaduna,17,69.03,29.4,74.8,0.08,10191,5.0,0
2023-06-02,Kano,23,79.47,29.6,82.5,0.26,8057,2.7,1
2023-06-09,Kaduna,18,61.14,29.2,86.4,0.15,4329,2.3,1
2023-06-16,Bayelsa,14,78.28,28.3,80.7,0.52,10884,3.1,0
2023-06-23,Lagos,23,16.03,29.6,81.6,0.64,10380,1.0,0
2023-06-30,Lagos,16,36.0,30.6,75.3,0.56,9347,1.0,0
2023-07-07,Bayelsa,16,37.06,25.9,83.1,0.17,7573,1.7,1
2023-07-14,Bayelsa,19,43.79,31.7,74.5,0.43,7825,2.1,0
2023-07-21,Kano,23,57.71,27.7,78.1,0.5,10176,4.6,0
2023-07-28,Lagos,20,71.17,26.8,75.4,0.35,6957,4.1,0
2023-08-04,Kano,21,75.41,30.2,76.8,0.47,2848,3.7,0
2023-08-11,Lagos,19,22.79,29.4,80.2,0.46,11712,1.7,0
2023-08-18,Lagos,20,62.95,29.2,83.5,0.32,7998,2.4,1
2023-08-25,Lagos,10,44.89,29.9,73.5,0.46,2640,5.0,0
2023-09-01,Bayelsa,20,36.06,29.9,74.9,0.47,10212,1.8,0
2023-09-08,Bayelsa,18,94.26,29.8,78.9,0.5,3386,1.8,0
2023-09-15,Kano,19,51.19,29.1,77.7,0.33,8214,1.8,0
2023-09-22,Bayelsa,18,63.18,24.4,79.3,0.64,4202,5.0,0
2023-09-29,Lagos,22,38.44,30.0,75.2,0.19,11763,3.3,1
2023-10-06,Bayelsa,31,74.16,29.8,75.8,0.55,6239,2.1,0
2023-10-13,Kano,22,46.74,28.0,73.9,0.16,5757,2.5,0
2023-10-20,Kano,19,41.6,28.1,79.8,0.53,9383,2.7,0
2023-10-27,Lagos,20,41.83,29.7,75.8,0.47,11277,1.1,0
2023-11-03,Kaduna,12,79.36,28.2,80.6,0.37,2987,3.6,1
2023-11-10,Kano,21,99.04,26.9,80.8,0.53,3993,2.9,0
2023-11-17,Enugu,17,75.83,26.9,78.9,0.24,3226,3.1,0
2023-11-24,Kano,7,17.45,29.4,82.9,0.66,7426,2.1,0
2023-12-01,Bayelsa,20,50.69,29.3,81.0,0.13,3858,3.1,0
2023-12-08,Kaduna,18,121.04,30.9,83.4,0.59,9084,3.3,0
2023-12-15,Enugu,14,69.12,27.5,74.9,0.3,10401,1.0,1
2023-12-22,Kano,12,50.82,30.4,82.0,0.41,11907,3.4,0
2023-12-29,Kano,20,64.45,28.9,79.3,0.42,6653,4.9,1
2024-01-05,Kano,21,29.51,27.4,77.6,0.5,5376,3.0,0
2024-01-12,Lagos,16,54.78,29.4,85.1,0.11,4502,3.7,0
2024-01-19,Kaduna,16,42.1,29.8,75.1,0.58,7951,2.7,0
2024-01-26,Kano,26,51.52,31.4,78.1,0.3,7773,3.3,0
2024-02-02,Kano,17,73.65,27.3,78.8,0.53,7510,1.8,0
2024-02-09,Lagos,13,85.23,26.5,77.1,0.71,7857,1.6,1
2024-02-16,Kaduna,12,35.48,30.3,81.3,0.32,7966,2.6,0
2024-02-23,Kaduna,17,25.02,28.2,84.4,0.08,9149,3.0,0
2024-03-01,Lagos,12,69.77,29.2,82.4,0.12,8204,2.7,0
2024-03-08,Enugu,21,67.15,28.5,73.5,0.2,11265,1.3,0
2024-03-15,Bayelsa,15,73.58,29.1,74.8,0.5,11224,1.0,0
2024-03-22,Kano,13,32.51,27.1,81.8,0.2,6590,4.7,0
2024-03-29,Kaduna,12,78.28,33.4,74.3,0.31,4200,2.4,1
2024-04-05,Lagos,19,44.96,28.5,77.6,0.46,9281,2.7,0
2024-04-12,Kaduna,12,81.62,28.6,73.8,0.09,9065,3.7,0
2024-04-19,Enugu,18,72.34,27.4,69.9,0.27,8877,3.1,0
2024-04-26,Enugu,18,61.75,29.1,70.8,0.59,8164,1.7,0
2024-05-03,Kano,21,38.72,29.6,75.2,0.13,10017,1.9,0
2024-05-10,Enugu,19,31.99,29.4,80.6,0.58,6132,3.2,0
2024-05-17,Lagos,17,42.55,28.6,78.6,0.28,3187,4.6,1
2024-05-24,Enugu,14,35.1,27.7,79.1,0.49,10542,4.8,0
2024-05-31,Lagos,15,65.64,29.6,79.7,0.47,6955,5.0,0
2024-06-07,Bayelsa,17,53.71,28.5,77.7,0.24,4941,3.7,0
2024-06-14,Kaduna,18,64.06,26.9,82.5,0.29,3415,3.4,0
2024-06-21,Kaduna,16,55.87,27.6,78.6,0.29,5150,2.3,0
2024-06-28,Enugu,16,61.78,28.2,78.6,0.36,5603,4.0,0
2024-07-05,Kano,11,60.05,28.2,84.6,0.22,3491,4.9,0
2024-07-12,Lagos,12,58.07,24.8,76.7,0.26,3942,4.0,0
2024-07-19,Kano,23,66.09,29.7,79.0,0.49,9001,2.2,0
2024-07-26,Enugu,17,28.35,29.2,79.0,0.58,10511,2.1,1
2024-08-02,Lagos,16,37.67,28.1,83.4,0.15,11163,1.7,0
2024-08-09,Lagos,13,43.24,29.3,82.6,0.43,8327,3.2,0
2024-08-16,Kaduna,13,0.0,29.1,73.6,0.43,5086,3.7,0
2024-08-23,Bayelsa,10,98.52,28.5,74.5,0.72,2756,3.3,0
2024-08-30,Kano,22,41.6,28.5,78.4,0.53,11526,1.9,0
2024-09-06,Bayelsa,21,61.77,28.3,78.5,0.68,7121,4.5,0
2024-09-13,Bayelsa,18,48.41,29.5,85.6,0.25,6170,4.8,1
2024-09-20,Bayelsa,16,40.69,28.7,80.6,0.26,3736,1.0,1
2024-09-27,Lagos,19,33.73,30.1,78.0,0.18,10633,3.6,0
2024-10-04,Lagos,16,71.45,28.7,80.6,0.56,8680,3.5,0
2024-10-11,Kano,24,70.06,28.3,72.5,0.38,10958,3.5,1
2024-10-18,Bayelsa,13,62.14,29.7,79.5,0.17,6337,2.7,0
2024-10-25,Lagos,15,86.7,28.8,80.5,0.35,5899,2.6,1
